,Appetizers,Beverages,Breads,Breakfast and Brunch,Cocktails,Condiments and Sauces,Desserts,Lunch,Main Dishes,Salads,Side Dishes,Snacks,Soups
2-Ingredient-Nutella-Brownies-1600158,0,0,0,0,0,0,1,0,0,0,0,0,0
4-Ingredients-Nutella-Brownies-748284,0,0,0,0,0,0,1,0,0,0,0,0,0
5-Ingredient-Paleo-Brownies-1253890,0,0,0,0,0,0,1,0,0,0,0,0,0
Ad-Hocs-Brownies-769746,0,0,0,0,0,0,1,0,0,0,0,0,0
Adorable-Heart-Shaped-Brownies-1179839,0,0,0,0,0,0,1,0,0,0,0,0,0
Almond-Flour-Brownies-1209524,0,0,0,0,0,0,1,0,0,0,0,0,0
Almond-Toffee-Sea-Salt-Brownies-1094740,0,0,0,0,0,0,1,0,0,0,0,0,0
Apple-Brownies-541086,0,0,0,0,0,0,1,0,0,0,0,0,0
Apple-Butterscotch-Brownies-1075418,0,0,0,0,0,0,1,0,0,0,0,0,0
Apple-brownies-364817,0,0,0,0,0,0,1,0,0,0,0,0,0
Aunt-Pinkie_s-Famous-Fudgy-Brownies-1335355,0,0,0,0,0,0,1,0,0,0,0,0,0
Avocado-Brownies-with-Hazelnuts-1278855,0,0,0,0,0,0,1,0,0,0,0,0,0
BLUE-RIBBON-DARK-CHOCOLATE-BROWNIES-1690321,0,0,0,0,0,0,1,0,0,0,0,0,0
BRAZILIAN-FLAIR-BROWNIE-SANDWICH-1549579,0,0,0,0,0,0,1,1,0,0,0,0,0
Bailey_s-Brown-Butter-Frosted-Brownies-1049490,0,0,0,0,0,0,1,0,0,0,0,0,0
Bailey_s-Irish-Cream-Brownies-1062784,0,0,0,0,0,0,1,0,0,0,0,0,0
Bailey_s-Irish-Cream-Brownies-AllRecipes-202780,0,0,0,0,0,0,1,0,0,0,0,0,0
Baileys-Irish-cream-cheese-swirl-brownies-1266134,0,0,0,0,0,0,1,0,0,0,0,0,0
Baked-Almond-Pulp-Brownies-899178,0,0,0,0,0,0,1,0,0,0,0,0,0
Banana-Brownies-with-Peanut-Butter-Banana-Frosting-575992,0,0,0,0,0,0,1,0,0,0,0,0,0
Banana-Nut-Brownies-TasteOfHome,0,0,0,0,0,0,1,0,0,0,0,0,0
Banana-Split-Brownies-470700,0,0,0,0,0,0,1,0,0,0,0,0,0
Banana-Stuffed-Brownie-Cupcakes-1636264,0,0,0,0,0,0,1,0,0,0,0,0,0
Basement-Brownies-472535,0,0,0,0,0,0,1,0,0,0,0,0,0
Bayou-Brownies-MyRecipes-212317,0,0,0,0,0,0,1,0,0,0,0,0,0
Best-Brownies-759512,0,0,0,0,0,0,1,0,0,0,0,0,0
Best-Ever-Brownie-Frosting-1296488,0,0,0,0,0,0,1,0,0,0,0,0,0
Best-Ever-Fudge-Brownie-1418814,0,0,0,0,0,0,1,0,0,0,0,0,0
Best-Gooey-Brownie-Recipe-EVER-1514047,0,0,0,0,0,0,1,0,0,0,0,0,0
Better-Brownies-AllRecipes,0,0,0,0,0,0,1,0,0,0,0,0,0
Betty-Crocker-Raceway-Brownie-1073498,0,0,0,0,0,0,1,0,0,0,0,0,0
Black-Bean-Brownies-1088585,0,0,0,0,0,0,1,0,0,0,0,0,0
Black-Bean-Brownies-1220884,0,0,0,0,0,0,1,0,0,0,0,0,0
Black-Bean-Brownies-1504349,0,0,0,0,0,0,1,0,0,0,0,0,0
Black-Bean-Brownies-1521236,0,0,0,0,0,0,1,0,0,0,0,0,0
