,rec_name,tot_time_seconds,rec_source,rating
Unbaked-Fudgy-Brownies-1096471,Unbaked Fudgy Brownies,2400.0,Cookbooks 365,4
Irish-Car-Bomb-Brownies-1534016,Irish Car Bomb Brownies,3600.0,A Spicy Perspective,4
Pecan_-Sea-Salt-_-Caramel-Filled-DelightFulls-Brownies-1036681,"Pecan, Sea Salt & Caramel Filled DelightFulls™ Brownies",3000.0,VeryBestBaking,3
Banana-Bread-Brownies-1450466,Banana Bread Brownies,2100.0,Oh No Mama's Off Her Meds Again,3
Best-Brownies-1607161,Best Brownies,3600.0,AllRecipes,4
Disappearing-Marshmallow-Brownies-Ii-Allrecipes,Disappearing Marshmallow Brownies II,2700.0,AllRecipes,5
Blonde-Brownies-Iv-Allrecipes,Blonde Brownies IV,1500.0,AllRecipes,4
Coca-Cola-Brownie-Sundae-1116407,Coca Cola Brownie Sundae,2400.0,The Chunky Chef,4
Easy-Zucchini-Brownies-1269388,Easy Zucchini Brownies,3000.0,My Urban Oven,4
Belgian-Brownies-574398,Belgian Brownies,4800.0,The Wednesday Chef,4
Single-Serve-Chocolate-Chip-Brownies-1576718,Single Serve Chocolate Chip Brownies,1500.0,All Day I Dream About Food,4
Peanut-Butter-S_mores-No-Bake-Brownies-1113337,Peanut Butter S'mores No Bake Brownies,600.0,Mom On Timeout,4
Chocolate-Stout-Brownies-Epicurious-203540,Chocolate-Stout Brownies,7800.0,Epicurious,5
Mocha-Brownie-Trifles-1439935,Mocha Brownie Trifles,600.0,Miss in the Kitchen,4
Elsye_s-Brownies-Allrecipes,Elsye's Brownies,3600.0,AllRecipes,4
Turtle-Brownies-Recipe---Baking-for-the-Firemen-1679358,Turtle Brownies Recipe - Baking for the Firemen,1800.0,Broken Teepee,4
Gluten-Free-Fudgy-Pecan-Brownies-484609,Gluten-Free Fudgy Pecan Brownies,3000.0,The Comfort of Cooking,4
Double-Chocolate-Brownie-Batter-Ice-Cream-1224645,Double Chocolate Brownie Batter Ice Cream,1800.0,Dinner Then Dessert,3
Gluten-Free-Tahini-Halvah-Brownies-1637000,Gluten-Free Tahini Halvah Brownies,4200.0,My Jewish Learning,4
Cherry-Cheesecake-Brownies-1562195,Cherry Cheesecake Brownies,3600.0,Flavor Mosaic,4
Chocolate-Peanut-Butter-Brownie-Thins-1579766,Chocolate Peanut Butter Brownie Thins,2700.0,Chef Times Two,4
Guilt-Free-Vegan-Sweet-Potato-Brownies-1680862,Guilt-Free Vegan Sweet Potato Brownies,4200.0,Gluten Free Vegan Girl,4
Praline-Pecan-Brownies-1011066,Praline Pecan Brownies,2100.0,Turnips 2 Tangerines,4
Salted-Caramel-Brownies-1002054,Salted Caramel Brownies,3600.0,Chez CateyLou,4
Smores-Swirl-Brownies-490089,S’mores Swirl Brownies,3300.0,Bake or Break,4
Black-and-Tan-Brownies-1297726,Black and Tan Brownies,3000.0,Relish,3
Peanut-Butter-Cream-Cheese-Brownies-1421313,Peanut Butter Cream Cheese Brownies,1800.0,Sincerely Jean,4
Protein-Brownie-Bites-1521146,Protein Brownie Bites,2400.0,The Toasted Pine Nut,4
Fudge-Cake-Brownies-My-Recipes,Fudge Cake Brownies,2700.0,MyRecipes,4
